gene_symbol,Sla2
pvalue,0.8171374
parameter_id,MGP_IMM_070_001
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
analysis_id,65c26m6864qi570
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
