analysis_id,98o61e5cd8p3d41
gene_symbol,Atg4c
parameter_name,PQ
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.397069
gene_accession_id,MGI:2651854
parameter_id,IMPC_ECG_005_001
