parameter_name,Weight
gene_accession_id,MGI:2385884
mouse_strain,C57BL
gene_symbol,Ddx27
analysis_id,5olo53dm3q5e17o
mouse_life_stage,Early adult
pvalue,0.1508232
parameter_id,M-G-P_005_001_001
