analysis_id,59453np0g8b45e7
parameter_name,Facial Morphology
pvalue,0.1905028
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_017_001
gene_symbol,Tnfsf8
mouse_strain,C57BL
gene_accession_id,MGI:88328
