analysis_id,yk5p203ol28787j
gene_symbol,Slc30a4
parameter_id,MGP_IMM_081_001
pvalue,0.5734728
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1345282
mouse_life_stage,Middle aged adult
