parameter_id,JAXLA_GRS_011_001
gene_symbol,Mapkap1
mouse_strain,C57BL
mouse_life_stage,E15.5
pvalue,0.7741605
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:2444554
analysis_id,bs4op7dbbt6o93e
