analysis_id,8h44x2k28v74ops
parameter_id,IMPC_EYE_016_001
gene_symbol,Bmi1
pvalue,0.1367056
mouse_strain,C57BL
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
parameter_name,Lens
