parameter_name,eye size
gene_accession_id,MGI:1913483
mouse_strain,C57BL
pvalue,0.07206587
analysis_id,8185l2p99b23610
gene_symbol,Dmap1
parameter_id,ESLIM_001_001_117
mouse_life_stage,E9.5
