gene_symbol,Golm2
gene_accession_id,MGI:2443129
pvalue,0.9352698
parameter_id,IMPC_IMM_050_001
parameter_name,Neutrophils
analysis_id,r2uu759144f3g4n
mouse_life_stage,Early adult
mouse_strain,C57BL
