parameter_name,Eyelid morphology
gene_symbol,Dcaf12
parameter_id,IMPC_EYE_004_001
pvalue,0.8067409
gene_accession_id,MGI:1916220
mouse_strain,C57BL
analysis_id,36l7ez2d1185536
mouse_life_stage,Early adult
