analysis_id,ri1d22b1z701fi6
parameter_id,IMPC_HEM_029_001
mouse_strain,C57BL
pvalue,0.5595621
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
parameter_name,Neutrophil differential count
mouse_life_stage,Early adult
