analysis_id,04759a2hj2p036t
parameter_id,IMPC_ECG_005_001
mouse_strain,C57BL
pvalue,0.3229456
parameter_name,PQ
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
gene_symbol,Col6a3
