analysis_id,q09nk1z9239gjqk
gene_symbol,Secisbp2l
mouse_strain,C57BL
parameter_id,MGP_IMM_014_001
gene_accession_id,MGI:1917604
pvalue,0.825662
mouse_life_stage,Middle aged adult
parameter_name,Effector CD8+ T cells - % of CD8+
