analysis_id,1105z73p3qc9l4n
gene_symbol,Ola1
pvalue,0.6191811
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914309
parameter_id,IMPC_ECG_005_001
parameter_name,PQ
