analysis_id,p42uaz01grlj6s2
parameter_id,IMPC_ECH_003_001
gene_accession_id,MGI:2444554
pvalue,0.6183698
gene_symbol,Mapkap1
mouse_life_stage,E15.5
parameter_name,Stroke Volume
mouse_strain,C57BL
