parameter_name,Retinal Blood Vessels Pattern
analysis_id,r3452x95w488id3
pvalue,0.4139692
mouse_strain,C57BL
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_026_001
