gene_symbol,Zmynd19
parameter_id,IMPC_EYE_056_001
pvalue,0.3438296
analysis_id,bv18l3b2z1me975
parameter_name,Mean left eye lens density
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914437
