analysis_id,7q8ppdv0t2vb1z6
parameter_name,Fat/Body weight
mouse_strain,C57BL
parameter_id,IMPC_DXA_009_001
gene_symbol,CMPK1
mouse_life_stage,Early adult
pvalue,0.5435556
gene_accession_id,MGI:1913838
