analysis_id,5133w6142u44909
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
pvalue,0.5399371
gene_symbol,Cntfr
parameter_name,Coat - hair distribution - back
mouse_strain,129SV
parameter_id,IMPC_CSD_011_001
