parameter_name,Prepulse inhibition - PP3
parameter_id,ESLIM_011_001_703
analysis_id,r28cu8062h6euz5
pvalue,0.2278978
mouse_strain,C57BL
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
