parameter_name,Neutrophil cell count
analysis_id,307j8w8nqzcy8p2
pvalue,0.1648458
mouse_strain,C57BL
gene_symbol,Rufy4
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
parameter_id,IMPC_HEM_030_001
