gene_symbol,Lpgat1
parameter_name,Breath rate during sleep mean
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
mouse_strain,C57BL
pvalue,0.8394549
parameter_id,JAX_SLW_013_001
analysis_id,gc6bc7w4xe4z4zj
