analysis_id,090tyfw0035w95c
parameter_name,Effector CD8+ T cells - % of CD45+
parameter_id,MGP_IMM_081_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
mouse_strain,C57BL
pvalue,0.2561711
gene_symbol,Slc30a4
