analysis_id,s78ofyflx407nb0
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:2651854
pvalue,0.7038419
mouse_life_stage,Early adult
gene_symbol,Atg4c
