gene_symbol,Amigo1
mouse_life_stage,Early adult
analysis_id,zder90v3c6i7e13
gene_accession_id,MGI:2653612
parameter_name,Breath rate during sleep mean
parameter_id,JAX_SLW_013_001
pvalue,0.7621059
mouse_strain,C57BL
