gene_symbol,Ivd
gene_accession_id,MGI:1929242
analysis_id,5221nb28vs139a5
pvalue,0.2262614
parameter_name,Eosinophil cell count
mouse_strain,C57BL
parameter_id,IMPC_HEM_036_001
mouse_life_stage,Early adult
