parameter_name,Hindlimb nail - number
mouse_life_stage,Early adult
gene_symbol,Kif24
analysis_id,47cp62voideuc5l
gene_accession_id,MGI:1918345
pvalue,0.905726
parameter_id,IMPC_CSD_051_002
mouse_strain,C57BL
