mouse_life_stage,Early adult
parameter_name,Body length
gene_symbol,Bpifa3
pvalue,0.6416393
parameter_id,IMPC_DXA_006_001
mouse_strain,C57BL
gene_accession_id,MGI:1920638
analysis_id,i1msgbigo240d96
