parameter_id,IMPC_CBC_006_001
analysis_id,7qi3343j2d0k04e
pvalue,0.5279588
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
parameter_name,Total protein
mouse_strain,C57BL
