analysis_id,3862x5440i0wof2
parameter_id,IMPC_GEO_011_001
gene_symbol,Arnt
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88071
pvalue,0.8753513
parameter_name,Blood Vessel Morphology
