analysis_id,014v5yuakh6k6o9
gene_symbol,Bcs1l
pvalue,0.571182
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_CSD_077_001
gene_accession_id,MGI:1914071
parameter_name,Contact righting
