gene_symbol,Cd52
pvalue,0.07062747
analysis_id,sv7h884s58p8d2t
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_071_001
mouse_strain,C57BL
parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:1346088
