analysis_id,c4735oz62pin6v9
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
parameter_id,JAX_LDT_003_001
pvalue,0.2720911
parameter_name,Time mobile light side
mouse_strain,C57BL
mouse_life_stage,Early adult
