analysis_id,r23d54de7tn56m2
parameter_name,Lean/Body weight
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_id,ESLIM_005_001_702
pvalue,0.2802372
gene_accession_id,MGI:1914071
