analysis_id,6m40383i13g1kn2
gene_accession_id,MGI:1913483
parameter_name,Eye
parameter_id,IMPC_EYE_001_001
mouse_life_stage,Early adult
gene_symbol,Dmap1
mouse_strain,C57BL
pvalue,0.7387867
