analysis_id,4lf19s06oj9744k
parameter_id,HRWLLA_OFD_020_001
mouse_strain,C57BL
gene_accession_id,MGI:1913506
pvalue,0.6543806
mouse_life_stage,Early adult
gene_symbol,Ssr2
parameter_name,Distance travelled - total
