parameter_name,Sodium
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3235842
analysis_id,e43l5999237st17
gene_symbol,Usp37
gene_accession_id,MGI:2442483
parameter_id,IMPC_CBC_001_001
