parameter_name,Alkaline phosphatase
mouse_life_stage,E18.5
analysis_id,f563c13zo91fwyr
pvalue,0.683749
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
gene_accession_id,MGI:1914561
gene_symbol,Nanp
