analysis_id,0f681821415ae83
parameter_id,M-G-P_014_001_001
pvalue,0.9809776
gene_symbol,Mms22l
mouse_life_stage,Early adult
parameter_name,Eye
gene_accession_id,MGI:2684980
mouse_strain,129SV
