parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:1915087
analysis_id,5845x2024r31h5u
gene_symbol,Tiprl
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.9189959
