gene_symbol,AU040320
mouse_strain,C55BL
mouse_life_stage,Middle aged adult
parameter_name,PP1 + pulse startle magnitude
analysis_id,681t2es01p0310w
pvalue,0.3333171
gene_accession_id,MGI:2140475
parameter_id,ESLIM_011_001_007
