parameter_name,Heart weight
gene_accession_id,MGI:1918345
mouse_strain,C57BL
pvalue,0.7673588
mouse_life_stage,Early adult
gene_symbol,Kif24
analysis_id,7voznl835d9o61x
parameter_id,HMGULA_HWT_008_001
