pvalue,0.7368286
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
analysis_id,tf79mz13l125s10
gene_symbol,Psmd14
parameter_name,PP1 startle magnitude
gene_accession_id,MGI:1913284
