analysis_id,3ai71ww11f3jzl2
mouse_strain,C57BL
gene_accession_id,MGI:1914071
parameter_id,IMPC_IMM_013_001
parameter_name,DN NKT cells
gene_symbol,Bcs1l
mouse_life_stage,E12.5
pvalue,0.4112672
