parameter_name,PQ
gene_accession_id,MGI:1916363
parameter_id,IMPC_ECG_005_001
mouse_strain,C57BL
gene_symbol,Alkbh3
pvalue,0.408773
analysis_id,175j7n149y45jov
mouse_life_stage,Early adult
