analysis_id,12rw64e81783ry7
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of NK cells
mouse_life_stage,E9.5
gene_symbol,Slc39a10
pvalue,0.3576691
gene_accession_id,MGI:1914515
parameter_id,MGP_IMM_036_001
