analysis_id,35tc5ai0esvn9uw
mouse_strain,C57BL
pvalue,0.6551424
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_017_001
parameter_name,Triglycerides
gene_symbol,Dnajc5b
