analysis_id,78c6z5aw9z4fswm
mouse_strain,C57BL
parameter_name,PP3 + pulse startle magnitude
gene_accession_id,MGI:109128
mouse_life_stage,Late adult
parameter_id,ESLIM_011_001_009
pvalue,0.2319097
gene_symbol,Hnf4a
