parameter_name,Platelet count
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_008_001
analysis_id,ubbc8o7o5lc05oq
pvalue,0.3822338
gene_symbol,F2
