analysis_id,328q1h96674y303
parameter_id,IMPC_GEO_064_001
mouse_life_stage,E18.5
parameter_name,Edema
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
pvalue,0.9080918
