parameter_name,Ly6Clow monocyte number
pvalue,0.3209684
analysis_id,427z7ev8ck1si00
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_id,MGP_PBI_038_001
