analysis_id,6v011x4o71r7hi6
pvalue,0.512563
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_name,Potassium
gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_id,GMC_906_001_005
