analysis_id,c777a5i1td2h8ro
mouse_life_stage,E15.5
pvalue,0.3578595
parameter_name,Limb grasp
gene_symbol,Bmi1
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_id,JAXLA_CSD_039_001
