pvalue,1.970779e-11
mouse_life_stage,Early adult
parameter_name,DN CD25- NKT cells
mouse_strain,C57BL
gene_accession_id,MGI:894679
gene_symbol,Bach2
analysis_id,4yti6k3y03zbzt5
parameter_id,IMPC_IMM_025_001
