mouse_life_stage,Early adult
parameter_id,IMPC_DXA_003_001
pvalue,0.7108839
parameter_name,Lean mass
gene_accession_id,MGI:2677850
analysis_id,m90vwu99q39t53v
gene_symbol,Abitram
mouse_strain,C57BL
