analysis_id,xo1sa78hfn6n660
mouse_life_stage,Early adult
parameter_id,HMGULA_DYS_024_001
gene_accession_id,MGI:2385156
pvalue,0.9996703
gene_symbol,Sdcbp2
parameter_name,Vibrissae - appearance
mouse_strain,C57BL
