analysis_id,ls5au2t27q3lme9
gene_accession_id,MGI:1915087
mouse_life_stage,E9.5
gene_symbol,Tiprl
pvalue,0.193385
parameter_name,Blood Vessel Morphology
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
