analysis_id,1x7rb63vez8r8mo
pvalue,0.6132052
parameter_id,MGP_MLN_006_001
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
