analysis_id,b24px32ejv2266m
mouse_strain,C57BL
gene_symbol,Fgb
parameter_name,Right total retinal thickness
parameter_id,IMPC_EYE_062_001
pvalue,0.8796691
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
