gene_symbol,Sprr1b
analysis_id,j3qz2f09e7j9105
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
parameter_id,MGP_PBI_030_001
pvalue,0.07552227
