parameter_name,Head morphology
gene_accession_id,MGI:1913483
mouse_life_stage,E9.5
parameter_id,MGP_CSD_064_001
pvalue,0.3913909
analysis_id,lh971v7j1n1hzk5
mouse_strain,C57BL
gene_symbol,Dmap1
