analysis_id,2ihv3h204hyrv0p
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
parameter_name,Resting NK cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C56BL
pvalue,0.9966265
parameter_id,MGP_IMM_100_001
