parameter_id,IMPC_ECG_028_001
gene_accession_id,MGI:891989
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1303794
parameter_name,QT
analysis_id,7s9803mst9tos4w
gene_symbol,Npbwr1
