parameter_name,Retinal Blood Vessels
pvalue,0.2426531
parameter_id,IMPC_EYE_024_001
gene_symbol,Stk35
analysis_id,142z467k7o5q767
mouse_strain,C57BL
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
